SeqId,BubbleSortNComp,BubbleSortTns,HeapSortNComp,HeapSortTns,
seq_100_14,4950,90755,739,16072,
seq_100_15,4950,73564,728,15396,
seq_100_16,4950,91582,743,25879,
seq_100_17,4950,67344,732,35122,
seq_100_18,4950,108225,735,29468,
seq_100_19,4950,71159,740,16065,
seq_100_20,4950,50915,743,20051,
seq_100_21,4950,45506,735,16771,
seq_100_22,4950,47690,742,18848,
seq_100_23,4950,42883,747,21771,
seq_100_24,4950,43800,737,19882,
seq_100_25,4950,43892,754,20636,
seq_100_26,4950,69949,744,28442,
seq_100_27,4950,67116,730,26052,
seq_100_28,4950,67414,735,26531,
seq_100_29,4950,76638,760,15895,
seq_100_30,4950,82520,724,33793,
seq_100_31,4950,70650,737,27313,
seq_100_32,4950,51472,733,20186,
seq_100_33,4950,81265,747,26854,
seq_100_34,4950,128021,736,37550,
seq_100_35,4950,74278,745,31276,
seq_100_36,4950,77351,734,28669,
seq_100_37,4950,77055,726,28184,
seq_100_38,4950,76096,731,28393,
seq_100_39,4950,74210,753,28707,
seq_100_40,4950,74231,753,29565,
seq_100_41,4950,80157,749,29165,
seq_100_42,4950,79266,740,25649,
seq_100_43,4950,73493,728,24263,
seq_100_44,4950,71387,736,69971,
seq_100_45,4950,122593,723,117494,
seq_100_46,4950,47421,736,16262,
seq_100_47,4950,77169,711,25864,
seq_100_48,4950,47681,736,28215,
seq_100_49,4950,80120,733,26736,
seq_100_50,4950,73694,755,26662,
seq_100_51,4950,149428,735,29190,
seq_100_52,4950,82969,750,27621,
seq_100_53,4950,74520,732,26845,
seq_100_54,4950,69457,725,24526,
seq_100_55,4950,76084,728,15534,
seq_100_56,4950,77021,739,23830,
seq_100_57,4950,65364,715,27022,
seq_100_58,4950,78492,743,27924,
seq_100_59,4950,74135,730,27902,
seq_100_60,4950,75155,733,27903,
seq_100_61,4950,73320,737,24995,
seq_100_62,4950,75397,740,26327,
seq_100_63,4950,79020,744,26116,
seq_100_64,4950,85038,733,19899,
seq_100_65,4950,77008,730,23978,
seq_100_66,4950,73138,728,28075,
seq_100_67,4950,220049,748,17761,
seq_100_68,4950,80050,748,31637,
seq_100_69,4950,45454,731,15907,
seq_100_70,4950,47718,736,16182,
seq_100_71,4950,47555,752,15643,
seq_100_72,4950,47977,728,15529,
seq_100_73,4950,104577,734,28373,
seq_100_74,4950,99079,736,25353,
seq_100_75,4950,75491,726,25751,
seq_100_76,4950,50866,731,27984,
seq_100_77,4950,49638,732,25635,
seq_100_78,4950,45702,719,22428,
seq_100_79,4950,47685,725,24755,
seq_100_80,4950,48176,744,26809,
seq_100_81,4950,49871,735,26815,
seq_100_82,4950,47862,741,22702,
seq_100_83,4950,46565,724,25432,
seq_100_84,4950,76432,732,25807,
seq_100_85,4950,86281,729,25825,
seq_100_86,4950,75777,724,25981,
seq_100_87,4950,73023,732,76490,
seq_100_88,4950,76494,743,28717,
seq_100_89,4950,75665,734,27440,
seq_100_90,4950,75400,736,26562,
seq_100_91,4950,79166,735,27414,
seq_100_92,4950,86395,727,35970,
seq_100_93,4950,60583,723,20343,
seq_100_94,4950,76014,746,26060,
seq_100_95,4950,71855,737,15608,
seq_100_96,4950,70692,730,17350,
seq_100_97,4950,45614,738,17680,
seq_100_98,4950,50417,736,20815,
seq_100_99,4950,45697,720,22804,
seq_150_0,11175,104741,1238,31395,
seq_150_1,11175,170470,1243,41374,
seq_150_2,11175,256925,1237,69288,
seq_150_3,11175,168089,1241,47124,
seq_150_4,11175,197749,1248,44665,
seq_150_5,11175,186876,1236,52933,
seq_150_6,11175,175388,1230,44605,
seq_150_7,11175,225707,1227,46201,
seq_150_8,11175,171782,1244,45555,
seq_150_9,11175,161817,1251,36919,
seq_150_10,11175,116284,1245,31019,
seq_150_11,11175,127729,1245,33613,
seq_150_12,11175,383000,1229,25022,
seq_150_13,11175,137596,1213,25590,
seq_150_14,11175,383225,1233,36154,
seq_150_15,11175,170159,1237,40204,
seq_150_16,11175,171865,1211,23447,
seq_150_17,11175,120618,1239,35953,
seq_150_18,11175,217434,1238,32406,
seq_150_19,11175,118531,1218,30234,
seq_150_20,11175,116076,1240,26055,
seq_150_21,11175,119848,1248,35771,
seq_150_22,11175,140136,1238,28888,
seq_150_23,11175,157572,1231,25130,
seq_150_24,11175,124269,1251,24892,
seq_150_25,11175,162681,1217,24960,
seq_150_26,11175,173877,1233,49275,
seq_150_27,11175,156323,1237,45372,
seq_150_28,11175,159675,1213,43493,
seq_150_29,11175,142229,1231,22171,
seq_150_30,11175,135414,1228,32292,
seq_150_31,11175,136705,1231,24742,
seq_150_32,11175,136702,1209,24151,
seq_150_33,11175,139087,1230,24502,
seq_150_34,11175,132513,1241,24105,
seq_150_35,11175,133207,1237,24463,
seq_150_36,11175,135490,1234,24219,
seq_150_37,11175,184293,1233,24466,
seq_150_38,11175,134273,1271,33688,
seq_150_39,11175,237183,1227,26598,
seq_150_40,11175,2603352,1221,45477,
seq_150_41,11175,145048,1235,24820,
seq_150_42,11175,136050,1240,24702,
seq_150_43,11175,132298,1243,40893,
seq_150_44,11175,133570,1264,24821,
seq_150_45,11175,133087,1252,24152,
seq_150_46,11175,177152,1225,24591,
seq_150_47,11175,103913,1218,27760,
seq_150_48,11175,107990,1235,24198,
seq_150_49,11175,179926,1219,47088,
seq_150_50,11175,177428,1225,45042,
seq_150_51,11175,110421,1248,29125,
seq_150_52,11175,175210,1224,49129,
seq_150_53,11175,197099,1206,45364,
seq_150_54,11175,104211,1239,24596,
seq_150_55,11175,156827,1233,43414,
seq_150_56,11175,304967,1232,38133,
seq_150_57,11175,169842,1214,40520,
seq_150_58,11175,165577,1227,79971,
seq_150_59,11175,175395,1243,52310,
seq_150_60,11175,162419,1205,40564,
seq_150_61,11175,172591,1252,45446,
seq_150_62,11175,180675,1231,47333,
seq_150_63,11175,175288,1242,55444,
seq_150_64,11175,102707,1258,24788,
seq_150_65,11175,104991,1225,23664,
seq_150_66,11175,141746,1244,24505,
seq_150_67,11175,207602,1209,24535,
seq_150_68,11175,854796,1229,54738,
seq_150_69,11175,196660,1237,64873,
seq_150_70,11175,176343,1213,44902,
seq_150_71,11175,542245,1242,44344,
seq_150_72,11175,419575,1249,46907,
seq_150_73,11175,171343,1240,91699,
seq_150_74,11175,272914,1259,43460,
seq_150_75,11175,156694,1252,40645,
seq_150_76,11175,142982,1235,24700,
seq_150_77,11175,139146,1229,24064,
seq_150_78,11175,137633,1231,24058,
seq_150_79,11175,137752,1255,24229,
seq_150_80,11175,135819,1227,23613,
seq_150_81,11175,135014,1225,23596,
seq_150_82,11175,167786,1231,32953,
seq_150_83,11175,187791,1232,42063,
seq_150_84,11175,110182,1221,24530,
seq_150_85,11175,175226,1240,48570,
seq_150_86,11175,111327,1231,43143,
seq_150_87,11175,124471,1225,36893,
seq_150_88,11175,148813,1237,40344,
seq_150_89,11175,120944,1213,34728,
seq_150_90,11175,301783,1238,43254,
seq_150_91,11175,131008,1220,33686,
seq_150_92,11175,195849,1217,29429,
seq_150_93,11175,197606,1243,39115,
seq_150_94,11175,208943,1226,30856,
seq_150_95,11175,288274,1237,28667,
seq_150_96,11175,176701,1248,40412,
seq_150_97,11175,400937,1250,53841,
seq_150_98,11175,170714,1241,41661,
seq_150_99,11175,104862,1230,59365,
seq_200_0,19900,258607,1781,30979,
seq_200_1,19900,261706,1758,56427,
seq_200_2,19900,322090,1763,31235,
seq_200_3,19900,236812,1766,29723,
seq_200_4,19900,241954,1768,29682,
seq_200_5,19900,234487,1737,29048,
seq_200_6,19900,256777,1780,126257,
seq_200_7,19900,264068,1802,35147,
seq_200_8,19900,687615,1774,65209,
seq_200_9,19900,368688,1775,67539,
seq_200_10,19900,194803,1767,34598,
seq_200_11,19900,184230,1776,33529,
seq_200_12,19900,299497,1761,61820,
seq_200_13,19900,215941,1766,32835,
seq_200_14,19900,254889,1784,30182,
seq_200_15,19900,203724,1771,70515,
seq_200_16,19900,824392,1769,748469,
seq_200_17,19900,692210,1769,66754,
seq_200_18,19900,310953,1753,45169,
seq_200_19,19900,314150,1764,42998,
seq_200_20,19900,301850,1738,38447,
seq_200_21,19900,239914,1767,40726,
seq_200_22,19900,226392,1774,33822,
seq_200_23,19900,223821,1753,33467,
seq_200_24,19900,430775,1747,64164,
seq_200_25,19900,201994,1774,60125,
seq_200_26,19900,461958,1770,64219,
seq_200_27,19900,301898,1764,33398,
seq_200_28,19900,216253,1768,33382,
seq_200_29,19900,213717,1754,32882,
seq_200_30,19900,235820,1756,33020,
seq_200_31,19900,337343,1777,34730,
seq_200_32,19900,176342,1783,33526,
seq_200_33,19900,302399,1757,69883,
seq_200_34,19900,279181,1751,34478,
seq_200_35,19900,190500,1782,36241,
seq_200_36,19900,185852,1760,33442,
seq_200_37,19900,180135,1738,33518,
seq_200_38,19900,180696,1772,32991,
seq_200_39,19900,183995,1764,33052,
seq_200_40,19900,224655,1748,59306,
seq_200_41,19900,230621,1764,33510,
seq_200_42,19900,214020,1778,89169,
seq_200_43,19900,230628,1769,41259,
seq_200_44,19900,301585,1742,41019,
seq_200_45,19900,231430,1777,55059,
seq_200_46,19900,197499,1766,36491,
seq_200_47,19900,184505,1780,35978,
seq_200_48,19900,222364,1781,33919,
seq_200_49,19900,226823,1767,33523,
seq_200_50,19900,229630,1770,33352,
seq_200_51,19900,360622,1778,33666,
seq_200_52,19900,687146,1788,57961,
seq_200_53,19900,309998,1773,64391,
seq_200_54,19900,356667,1772,70753,
seq_200_55,19900,304206,1770,62352,
seq_200_56,19900,325566,1756,62738,
seq_200_57,19900,225982,1777,35312,
seq_200_58,19900,223819,1775,33162,
seq_200_59,19900,1025344,1771,61289,
seq_200_60,19900,287407,1776,56513,
seq_200_61,19900,261591,1756,35188,
seq_200_62,19900,230920,1753,45083,
seq_200_63,19900,429100,1783,58742,
seq_200_64,19900,226074,1770,54815,
seq_200_65,19900,221750,1746,33808,
seq_200_66,19900,271713,1780,33563,
seq_200_67,19900,191865,1773,32858,
seq_200_68,19900,224784,1759,33317,
seq_200_69,19900,813688,1787,71959,
seq_200_70,19900,482700,1761,247392,
seq_200_71,19900,459662,1775,65215,
seq_200_72,19900,240654,1782,34791,
seq_200_73,19900,232818,1782,33289,
seq_200_74,19900,213884,1757,32656,
seq_200_75,19900,216008,1763,38742,
seq_200_76,19900,245971,1767,35876,
seq_200_77,19900,5210460,1765,63162,
seq_200_78,19900,275440,1764,34359,
seq_200_79,19900,282828,1753,33820,
seq_200_80,19900,262614,1782,33695,
seq_200_81,19900,319332,1783,33639,
seq_200_82,19900,263074,1753,32549,
seq_200_83,19900,292930,1769,33509,
seq_200_84,19900,263865,1744,33914,
seq_200_85,19900,274501,1768,33440,
seq_200_86,19900,275692,1795,53028,
seq_200_87,19900,396201,1754,61237,
seq_200_88,19900,283567,1786,34559,
seq_200_89,19900,247449,1754,34743,
seq_200_90,19900,459548,1777,35799,
seq_200_91,19900,441509,1759,54203,
seq_200_92,19900,267648,1764,33452,
seq_200_93,19900,226154,1785,33508,
seq_200_94,19900,229636,1765,33083,
seq_200_95,19900,237240,1738,35290,
seq_200_96,19900,346627,1811,42064,
seq_200_97,19900,291802,1761,69616,
seq_200_98,19900,475081,1770,54091,
seq_200_99,19900,293383,1762,63570,
seq_250_0,31125,435037,2341,76628,
seq_250_1,31125,312682,2335,41738,
seq_250_2,31125,351374,2353,42245,
seq_250_3,31125,529764,2329,76518,
seq_250_4,31125,388667,2338,42660,
seq_250_5,31125,405002,2313,59691,
seq_250_6,31125,372302,2327,52887,
seq_250_7,31125,409436,2349,54637,
seq_250_8,31125,344716,2328,40996,
seq_250_9,31125,369157,2333,41151,
seq_250_10,31125,385089,2357,51333,
seq_250_11,31125,377944,2319,44349,
seq_250_12,31125,669017,2326,73350,
seq_250_13,31125,422213,2327,43830,
seq_250_14,31125,404263,2358,43151,
seq_250_15,31125,443909,2349,43376,
seq_250_16,31125,380054,2329,42798,
seq_250_17,31125,404394,2338,42828,
seq_250_18,31125,766013,2326,82893,
seq_250_19,31125,624165,2347,92223,
seq_250_20,31125,430345,2354,44582,
seq_250_21,31125,388421,2342,42860,
seq_250_22,31125,394382,2320,42458,
seq_250_23,31125,380684,2302,42504,
seq_250_24,31125,339696,2350,43462,
seq_250_25,31125,828539,2345,81818,
seq_250_26,31125,786096,2325,82539,
seq_250_27,31125,345967,2341,43567,
seq_250_28,31125,364511,2363,46139,
seq_250_29,31125,357497,2345,45510,
seq_250_30,31125,398403,2370,43999,
seq_250_31,31125,328400,2354,43417,
seq_250_32,31125,330913,2327,42672,
seq_250_33,31125,1071543,2349,194830,
seq_250_34,31125,629299,2343,84922,
seq_250_35,31125,496983,2334,80389,
seq_250_36,31125,481092,2347,81454,
seq_250_37,31125,592555,2340,44417,
seq_250_38,31125,331827,2360,43399,
seq_250_39,31125,336984,2334,43690,
seq_250_40,31125,477954,2338,110493,
seq_250_41,31125,451614,2302,52823,
seq_250_42,31125,484374,2374,57630,
seq_250_43,31125,518784,2316,51834,
seq_250_44,31125,371223,2283,42845,
seq_250_45,31125,349000,2363,44209,
seq_250_46,31125,346583,2352,42745,
seq_250_47,31125,622387,2320,221626,
seq_250_48,31125,463987,2356,110772,
seq_250_49,31125,475088,2349,66920,
seq_250_50,31125,315423,2338,43289,
seq_250_51,31125,429795,2293,42475,
seq_250_52,31125,384294,2321,43520,
seq_250_53,31125,367847,2325,42509,
seq_250_54,31125,438143,2327,42862,
seq_250_55,31125,359521,2354,44975,
seq_250_56,31125,297458,2353,44852,
seq_250_57,31125,410700,2341,43565,
seq_250_58,31125,413744,2317,42985,
seq_250_59,31125,386309,2335,43031,
seq_250_60,31125,407121,2343,43135,
seq_250_61,31125,371075,2345,43108,
seq_250_62,31125,399336,2335,42926,
seq_250_63,31125,575730,2351,93790,
seq_250_64,31125,793351,2362,301071,
seq_250_65,31125,892491,2343,81429,
seq_250_66,31125,442249,2340,44562,
seq_250_67,31125,3895808,2314,3768657,
seq_250_68,31125,617194,2338,94656,
seq_250_69,31125,627844,2352,130138,
seq_250_70,31125,6936687,2350,101009,
seq_250_71,31125,1456986,2343,123932,
seq_250_72,31125,459702,2331,68737,
seq_250_73,31125,1568223,2345,69205,
seq_250_74,31125,509075,2342,86435,
seq_250_75,31125,335434,2339,43445,
seq_250_76,31125,356324,2339,44172,
seq_250_77,31125,399740,2339,43178,
seq_250_78,31125,385188,2342,43326,
seq_250_79,31125,346821,2330,44328,
seq_250_80,31125,494499,2332,81949,
seq_250_81,31125,622050,2346,83270,
seq_250_82,31125,436755,2347,43576,
seq_250_83,31125,394952,2357,43183,
seq_250_84,31125,356289,2337,44171,
seq_250_85,31125,352834,2350,48064,
seq_250_86,31125,319621,2334,42718,
seq_250_87,31125,393252,2341,79628,
seq_250_88,31125,581417,2370,75817,
seq_250_89,31125,575534,2326,81570,
seq_250_90,31125,702627,2346,49498,
seq_250_91,31125,783500,2331,80948,
seq_250_92,31125,1978517,2326,82128,
seq_250_93,31125,619355,2335,101476,
seq_250_94,31125,501320,2355,80840,
seq_250_95,31125,336391,2345,43944,
seq_250_96,31125,535865,2336,43831,
seq_250_97,31125,390825,2348,42315,
seq_250_98,31125,745430,2308,71617,
seq_250_99,31125,565058,2340,85415,
seq_300_0,44850,494856,2901,55433,
seq_300_1,44850,783380,2909,57723,
seq_300_2,44850,470829,2913,53218,
seq_300_3,44850,511464,2902,52882,
seq_300_4,44850,1306747,2886,226845,
seq_300_5,44850,1104294,2938,197913,
seq_300_6,44850,505857,2890,144666,
seq_300_7,44850,463532,2950,52837,
seq_300_8,44850,468226,2946,53471,
seq_300_9,44850,584309,2921,64179,
seq_300_10,44850,761519,2931,55741,
seq_300_11,44850,1455542,2903,90562,
seq_300_12,44850,519535,2910,53303,
seq_300_13,44850,516393,2964,52690,
seq_300_14,44850,681153,2912,138772,
seq_300_15,44850,435571,2917,54498,
seq_300_16,44850,640977,2944,57403,
seq_300_17,44850,737001,2907,53644,
seq_300_18,44850,461236,2938,52651,
seq_300_19,44850,498148,2900,52762,
seq_300_20,44850,700421,2907,52671,
seq_300_21,44850,1215274,2893,96797,
seq_300_22,44850,690533,2937,101741,
seq_300_23,44850,903143,2902,72426,
seq_300_24,44850,476686,2913,57627,
seq_300_25,44850,468741,2938,52727,
seq_300_26,44850,849409,2917,100578,
seq_300_27,44850,1015764,2914,194470,
seq_300_28,44850,636334,2916,64813,
seq_300_29,44850,623156,2944,77667,
seq_300_30,44850,515763,2912,65286,
seq_300_31,44850,494896,2921,52706,
seq_300_32,44850,1224215,2895,93445,
seq_300_33,44850,648478,2920,54206,
seq_300_34,44850,519533,2898,77358,
seq_300_35,44850,578765,2908,55023,
seq_300_36,44850,489905,2907,53533,
seq_300_37,44850,695242,2889,100437,
seq_300_38,44850,1029592,2898,93933,
seq_300_39,44850,699093,2942,92289,
seq_300_40,44850,714283,2900,54035,
seq_300_41,44850,543826,2902,53184,
seq_300_42,44850,476697,2927,55448,
seq_300_43,44850,685497,2931,52545,
seq_300_44,44850,1195444,2888,63491,
seq_300_45,44850,540521,2905,53486,
seq_300_46,44850,469584,2944,56968,
seq_300_47,44850,501277,2918,52475,
seq_300_48,44850,534271,2937,53265,
seq_300_49,44850,605793,2905,99312,
seq_300_50,44850,879168,2917,155021,
seq_300_51,44850,490519,2909,54329,
seq_300_52,44850,682273,2922,99193,
seq_300_53,44850,480644,2911,53276,
seq_300_54,44850,489928,2910,53443,
seq_300_55,44850,468472,2903,52985,
seq_300_56,44850,805992,2929,92949,
seq_300_57,44850,817261,2953,105537,
seq_300_58,44850,510544,2917,57332,
seq_300_59,44850,575848,2922,80640,
seq_300_60,44850,484040,2917,65110,
seq_300_61,44850,487320,2940,54100,
seq_300_62,44850,712100,2895,151859,
seq_300_63,44850,684849,2924,64079,
seq_300_64,44850,543315,2912,54598,
seq_300_65,44850,491145,2946,53468,
seq_300_66,44850,475687,2885,64956,
seq_300_67,44850,664022,2912,54642,
seq_300_68,44850,3598232,2932,144201,
seq_300_69,44850,579745,2918,54727,
seq_300_70,44850,520856,2930,53213,
seq_300_71,44850,550440,2895,52328,
seq_300_72,44850,535865,2928,52788,
seq_300_73,44850,3142179,2907,113223,
seq_300_74,44850,726358,2909,97505,
seq_300_75,44850,754758,2907,54225,
seq_300_76,44850,573517,2898,100752,
seq_300_77,44850,550198,2892,54057,
seq_300_78,44850,1735771,2925,106474,
seq_300_79,44850,466941,2927,150743,
seq_300_80,44850,586507,2929,54134,
seq_300_81,44850,527830,2918,53880,
seq_300_82,44850,501232,2932,53755,
seq_300_83,44850,1170184,2937,102178,
seq_300_84,44850,778207,2950,104915,
seq_300_85,44850,543590,2928,61965,
seq_300_86,44850,864447,2918,56543,
seq_300_87,44850,549485,2935,53658,
seq_300_88,44850,500812,2903,53764,
seq_300_89,44850,697360,2893,492192,
seq_300_90,44850,618327,2918,92457,
seq_300_91,44850,460911,2938,53389,
seq_300_92,44850,2862987,2905,93492,
seq_300_93,44850,617275,2912,54184,
seq_300_94,44850,464324,2928,53220,
seq_300_95,44850,501061,2916,53348,
seq_300_96,44850,481655,2895,53438,
seq_300_97,44850,1405834,2900,111147,
seq_300_98,44850,1151033,2902,259335,
seq_300_99,44850,603868,2906,67092,
seq_350_0,61075,924223,3540,63697,
seq_350_1,61075,674385,3500,62791,
seq_350_2,61075,1682707,3521,94791,
seq_350_3,61075,845979,3537,63921,
seq_350_4,61075,678997,3528,75514,
seq_350_5,61075,645267,3528,63547,
seq_350_6,61075,1023009,3518,159668,
seq_350_7,61075,2984308,3523,125043,
seq_350_8,61075,740864,3489,65659,
seq_350_9,61075,732224,3514,75293,
seq_350_10,61075,766410,3517,63848,
seq_350_11,61075,657174,3481,63126,
seq_350_12,61075,1423535,3563,140500,
seq_350_13,61075,660477,3552,72358,
seq_350_14,61075,720190,3484,62965,
seq_350_15,61075,659992,3545,62631,
seq_350_16,61075,660162,3504,63324,
seq_350_17,61075,654370,3545,63126,
seq_350_18,61075,1156620,3502,64050,
seq_350_19,61075,687711,3520,63655,
seq_350_20,61075,706375,3532,63070,
seq_350_21,61075,608102,3522,62565,
seq_350_22,61075,3305243,3547,65516,
seq_350_23,61075,750168,3547,64556,
seq_350_24,61075,805109,3520,66939,
seq_350_25,61075,661874,3502,71372,
seq_350_26,61075,615866,3482,70827,
seq_350_27,61075,2705040,3500,143161,
seq_350_28,61075,709103,3541,64800,
seq_350_29,61075,698834,3530,244131,
seq_350_30,61075,972701,3522,120027,
seq_350_31,61075,1329269,3511,123263,
seq_350_32,61075,898819,3504,64816,
seq_350_33,61075,776925,3509,75012,
seq_350_34,61075,616024,3519,64197,
seq_350_35,61075,664641,3519,64846,
seq_350_36,61075,1297436,3534,125702,
seq_350_37,61075,735410,3525,64129,
seq_350_38,61075,756953,3494,63086,
seq_350_39,61075,638997,3518,62225,
seq_350_40,61075,637955,3525,62663,
seq_350_41,61075,657488,3541,63123,
seq_350_42,61075,1029716,3508,112691,
seq_350_43,61075,626133,3501,64165,
seq_350_44,61075,707028,3516,68153,
seq_350_45,61075,719213,3496,62149,
seq_350_46,61075,1516367,3533,139492,
seq_350_47,61075,1309636,3542,65786,
seq_350_48,61075,813328,3521,69183,
seq_350_49,61075,665233,3532,64335,
seq_350_50,61075,645185,3468,63741,
seq_350_51,61075,1605324,3513,99939,
seq_350_52,61075,766045,3505,64399,
seq_350_53,61075,729210,3532,97860,
seq_350_54,61075,622337,3569,63841,
seq_350_55,61075,956608,3486,118099,
seq_350_56,61075,1076440,3492,233545,
seq_350_57,61075,1180533,3541,112865,
seq_350_58,61075,1041538,3485,121846,
seq_350_59,61075,1232197,3500,124236,
seq_350_60,61075,660917,3498,163607,
seq_350_61,61075,650338,3524,63932,
seq_350_62,61075,656341,3526,64916,
seq_350_63,61075,590057,3531,62731,
seq_350_64,61075,1087817,3485,115924,
seq_350_65,61075,888809,3525,64710,
seq_350_66,61075,693798,3541,64815,
seq_350_67,61075,656418,3508,63150,
seq_350_68,61075,664781,3517,62544,
seq_350_69,61075,1008842,3500,208755,
seq_350_70,61075,753701,3510,65954,
seq_350_71,61075,865262,3522,72581,
seq_350_72,61075,783327,3502,63763,
seq_350_73,61075,700254,3509,64198,
seq_350_74,61075,1014238,3513,115815,
seq_350_75,61075,844383,3471,71295,
seq_350_76,61075,1056234,3504,146790,
seq_350_77,61075,942442,3510,119709,
seq_350_78,61075,957944,3562,250996,
seq_350_79,61075,1436423,3500,110976,
seq_350_80,61075,665114,3496,64973,
seq_350_81,61075,710169,3517,64542,
seq_350_82,61075,669073,3509,63323,
seq_350_83,61075,984328,3528,119913,
seq_350_84,61075,633758,3487,63096,
seq_350_85,61075,653933,3508,63667,
seq_350_86,61075,3022016,3517,165810,
seq_350_87,61075,908507,3534,87225,
seq_350_88,61075,656612,3518,65082,
seq_350_89,61075,2930366,3509,135851,
seq_350_90,61075,988859,3498,126636,
seq_350_91,61075,739238,3491,73467,
seq_350_92,61075,932077,3542,105311,
seq_350_93,61075,880065,3547,117867,
seq_350_94,61075,820476,3521,77027,
seq_350_95,61075,701374,3475,64208,
seq_350_96,61075,618016,3524,115848,
seq_350_97,61075,948268,3524,383350,
seq_350_98,61075,761439,3513,64070,
seq_350_99,61075,634539,3537,62815,
seq_400_0,79800,813861,4118,70117,
seq_400_1,79800,748016,4128,69491,
seq_400_2,79800,1735286,4149,1615572,
